s,Pa,m/s,
Time,"pres","error","iter"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528471E-003, 5.9674922E-002, 4.7547772E-004, 5.0000000E+000
 7.9056942E-003, 5.9670714E-002, 4.3511268E-004, 2.0000000E+000
 1.1858541E-002, 5.9664643E-002, 2.9830154E-004, 1.0000000E+000
 1.5811388E-002, 5.9656708E-002, 1.4118135E-004, 1.0000000E+000
 1.9764235E-002, 5.9646910E-002, 7.9505775E-005, 1.0000000E+000
 2.3717082E-002, 5.9635252E-002, 7.2833303E-005, 1.0000000E+000
 2.7669930E-002, 5.9621733E-002, 7.0822372E-005, 1.0000000E+000
 3.1622777E-002, 5.9606357E-002, 7.2211273E-005, 1.0000000E+000
 3.5575624E-002, 5.9589124E-002, 7.4395887E-005, 1.0000000E+000
 3.9528471E-002, 5.9570038E-002, 1.0307353E-004, 1.0000000E+000
 4.3481318E-002, 5.9549100E-002, 1.2404036E-004, 1.0000000E+000
 4.7434165E-002, 5.9526313E-002, 1.3685460E-004, 1.0000000E+000
 5.1387012E-002, 5.9501680E-002, 1.4244848E-004, 1.0000000E+000
 5.5339859E-002, 5.9475203E-002, 1.4497283E-004, 1.0000000E+000
 5.9292706E-002, 5.9446887E-002, 1.4923111E-004, 1.0000000E+000
 6.3245553E-002, 5.9416735E-002, 1.5828352E-004, 1.0000000E+000
 6.7198400E-002, 5.9384750E-002, 1.7293536E-004, 1.0000000E+000
 7.1151247E-002, 5.9350937E-002, 1.9210185E-004, 1.0000000E+000
 7.5104094E-002, 5.9315299E-002, 2.1366654E-004, 1.0000000E+000
 7.9056942E-002, 5.9277841E-002, 2.3540732E-004, 1.0000000E+000
 8.2580295E-002, 5.9245924E-002, 1.8707588E-004, 1.0000000E+000
 8.6103649E-002, 5.9209700E-002, 2.0237632E-004, 1.0000000E+000
 8.9627003E-002, 5.9172041E-002, 2.2427258E-004, 1.0000000E+000
 9.2750760E-002, 5.9140621E-002, 1.7342122E-004, 1.0000000E+000
 9.5874518E-002, 5.9105021E-002, 1.8170061E-004, 1.0000000E+000
 9.8998275E-002, 5.9068301E-002, 1.9845843E-004, 1.0000000E+000
 1.0212203E-001, 5.9030464E-002, 2.0955036E-004, 1.0000000E+000
 1.0486444E-001, 5.8999766E-002, 1.5637797E-004, 1.0000000E+000
 1.0760686E-001, 5.8964862E-002, 1.6132862E-004, 1.0000000E+000
 1.1034927E-001, 5.8929103E-002, 1.7379721E-004, 1.0000000E+000
 1.1309168E-001, 5.8892491E-002, 1.8014491E-004, 1.0000000E+000
 1.1583409E-001, 5.8855028E-002, 1.8297884E-004, 1.0000000E+000
 1.1824366E-001, 5.8824809E-002, 1.3407738E-004, 1.0000000E+000
 1.2065323E-001, 5.8790607E-002, 1.3687743E-004, 1.0000000E+000
 1.2306281E-001, 5.8755753E-002, 1.4574609E-004, 1.0000000E+000
 1.2547238E-001, 5.8720249E-002, 1.4998073E-004, 1.0000000E+000
 1.2788195E-001, 5.8684095E-002, 1.5213481E-004, 1.0000000E+000
 1.3029152E-001, 5.8647293E-002, 1.5501511E-004, 1.0000000E+000
 1.3242538E-001, 5.8617319E-002, 1.1541913E-004, 1.0000000E+000
 1.3455924E-001, 5.8583734E-002, 1.1826991E-004, 1.0000000E+000
 1.3669309E-001, 5.8549644E-002, 1.2433271E-004, 1.0000000E+000
 1.3882695E-001, 5.8515052E-002, 1.2659855E-004, 1.0000000E+000
 1.4096081E-001, 5.8479958E-002, 1.2789454E-004, 1.0000000E+000
 1.4309467E-001, 5.8444363E-002, 1.3025535E-004, 1.0000000E+000
 1.4522853E-001, 5.8408269E-002, 1.3327077E-004, 1.0000000E+000
 1.4713892E-001, 5.8378370E-002, 9.9995741E-005, 1.0000000E+000
 1.4904932E-001, 5.8345271E-002, 1.0198245E-004, 1.0000000E+000
 1.5095972E-001, 5.8311774E-002, 1.0596083E-004, 1.0000000E+000
 1.5287011E-001, 5.8277880E-002, 1.0739626E-004, 1.0000000E+000
 1.5478051E-001, 5.8243591E-002, 1.0880024E-004, 1.0000000E+000
 1.5669090E-001, 5.8208908E-002, 1.1134566E-004, 1.0000000E+000
 1.5860130E-001, 5.8173831E-002, 1.1424294E-004, 1.0000000E+000
 1.6051170E-001, 5.8138362E-002, 1.1630005E-004, 1.0000000E+000
 1.6242209E-001, 5.8102501E-002, 1.1702476E-004, 1.0000000E+000
 1.6413126E-001, 5.8072927E-002, 8.5804154E-005, 1.0000000E+000
