s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_LJ AIR
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9528469E-003, 0.0000000E+000, 0.0000000E+000,-1.5476509E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5476509E-016, 0.0000000E+000
 7.9056937E-003, 0.0000000E+000, 0.0000000E+000,-2.0217161E-016,-1.8067123E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9205549E-014,-2.0088839E-015, 9.4830341E-005
 1.1858542E-002, 0.0000000E+000, 0.0000000E+000,-2.0028423E-016,-1.5007369E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9877337E-015,-1.7010211E-015, 1.8965772E-004
 1.5811387E-002, 0.0000000E+000, 0.0000000E+000,-2.0383695E-016,-1.2297300E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1684054E-014,-1.4335670E-015, 2.8447917E-004
 1.9764235E-002, 0.0000000E+000, 0.0000000E+000,-2.0250468E-016,-8.0719245E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1684054E-014,-1.0096971E-015, 3.7929173E-004
 2.3717083E-002, 0.0000000E+000, 0.0000000E+000,-2.0161650E-016,-5.8281043E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9877337E-015,-7.8442693E-016, 4.7409244E-004
 2.7669929E-002, 0.0000000E+000, 0.0000000E+000,-2.0206059E-016,-4.5167808E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7076694E-014,-6.5373867E-016, 5.6887835E-004
 3.1622775E-002, 0.0000000E+000, 0.0000000E+000,-2.0428104E-016,-3.4677221E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2582827E-014,-5.5105324E-016, 6.6364648E-004
 3.5575625E-002, 0.0000000E+000, 0.0000000E+000,-2.0783375E-016,-2.9140521E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9877337E-015,-4.9923897E-016, 7.5839389E-004
 3.9528470E-002, 0.0000000E+000, 0.0000000E+000,-2.1582736E-016,-3.4094410E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6963201E-015,-5.5677146E-016, 8.5311763E-004
 4.3481316E-002, 0.0000000E+000, 0.0000000E+000,-2.2382096E-016,-1.8649934E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7076694E-014,-4.1032030E-016, 9.4781474E-004
 4.7434166E-002, 0.0000000E+000, 0.0000000E+000,-2.2559732E-016,-8.4507512E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2914136E-015,-3.1010483E-016, 1.0424823E-003
 5.1387012E-002, 0.0000000E+000, 0.0000000E+000,-2.3092639E-016,-1.2821829E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8874241E-014,-3.5914468E-016, 1.1371173E-003
 5.5339858E-002, 0.0000000E+000, 0.0000000E+000,-2.3536728E-016,-5.8281043E-018, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9877337E-016,-2.4119539E-016, 1.2317169E-003
 5.9292708E-002, 0.0000000E+000, 0.0000000E+000,-2.3714364E-016, 8.7421564E-017, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3481601E-014,-1.4972207E-016, 1.3262780E-003
 6.3245550E-002, 0.0000000E+000, 0.0000000E+000,-2.4247271E-016, 1.7775718E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0785280E-014,-6.4715527E-017, 1.4207979E-003
 6.7198403E-002, 0.0000000E+000, 0.0000000E+000,-2.4691360E-016, 2.7100685E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4938668E-015, 2.4093249E-017, 1.5152735E-003
 7.1151249E-002, 0.0000000E+000, 0.0000000E+000,-2.4513724E-016, 3.8465488E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7076694E-014, 1.3951764E-016, 1.6097020E-003
