,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-17T21:19:17.702+02:00,   0.395E-02,   0.00395,   0.226E+00
      2,2022-10-17T21:19:17.724+02:00,   0.395E-02,   0.00791,   0.247E+00
      3,2022-10-17T21:19:17.741+02:00,   0.395E-02,   0.01186,   0.264E+00
      4,2022-10-17T21:19:17.757+02:00,   0.395E-02,   0.01581,   0.280E+00
      5,2022-10-17T21:19:17.770+02:00,   0.395E-02,   0.01976,   0.293E+00
      6,2022-10-17T21:19:17.785+02:00,   0.395E-02,   0.02372,   0.308E+00
      7,2022-10-17T21:19:17.798+02:00,   0.395E-02,   0.02767,   0.321E+00
      8,2022-10-17T21:19:17.813+02:00,   0.395E-02,   0.03162,   0.337E+00
      9,2022-10-17T21:19:17.827+02:00,   0.395E-02,   0.03558,   0.350E+00
     10,2022-10-17T21:19:17.842+02:00,   0.395E-02,   0.03953,   0.365E+00
     20,2022-10-17T21:19:17.980+02:00,   0.395E-02,   0.07906,   0.504E+00
     30,2022-10-17T21:19:18.129+02:00,   0.274E-02,   0.11035,   0.652E+00
     40,2022-10-17T21:19:18.274+02:00,   0.213E-02,   0.13456,   0.798E+00
     50,2022-10-17T21:19:18.416+02:00,   0.191E-02,   0.15478,   0.939E+00
     60,2022-10-17T21:19:18.556+02:00,   0.171E-02,   0.17268,   0.108E+01
     70,2022-10-17T21:19:18.694+02:00,   0.154E-02,   0.18891,   0.122E+01
     80,2022-10-17T21:19:18.833+02:00,   0.138E-02,   0.20413,   0.136E+01
     90,2022-10-17T21:19:18.964+02:00,   0.138E-02,   0.21797,   0.149E+01
    100,2022-10-17T21:19:19.101+02:00,   0.124E-02,   0.23139,   0.162E+01
    200,2022-10-17T21:19:20.425+02:00,   0.902E-03,   0.33884,   0.295E+01
    300,2022-10-17T21:19:21.722+02:00,   0.730E-03,   0.42311,   0.424E+01
    400,2022-10-17T21:19:22.993+02:00,   0.657E-03,   0.49449,   0.551E+01
    500,2022-10-17T21:19:24.267+02:00,   0.590E-03,   0.55903,   0.679E+01
    600,2022-10-17T21:19:25.522+02:00,   0.590E-03,   0.61807,   0.804E+01
    700,2022-10-17T21:19:26.776+02:00,   0.531E-03,   0.67215,   0.930E+01
    800,2022-10-17T21:19:28.037+02:00,   0.478E-03,   0.72474,   0.106E+02
    900,2022-10-17T21:19:29.282+02:00,   0.478E-03,   0.77254,   0.118E+02
   1000,2022-10-17T21:19:30.531+02:00,   0.478E-03,   0.82034,   0.130E+02
   1100,2022-10-17T21:19:31.779+02:00,   0.430E-03,   0.86517,   0.143E+02
   1200,2022-10-17T21:19:33.038+02:00,   0.430E-03,   0.90817,   0.156E+02
   1300,2022-10-17T21:19:34.298+02:00,   0.430E-03,   0.95118,   0.168E+02
   1400,2022-10-17T21:19:35.580+02:00,   0.430E-03,   0.99419,   0.181E+02
   1500,2022-10-17T21:19:36.873+02:00,   0.387E-03,   1.03333,   0.194E+02
   1600,2022-10-17T21:19:38.208+02:00,   0.387E-03,   1.07203,   0.207E+02
