      Step     Time          Energy          fmax
BFGS:    0 14:33:28     -194.011551       13.097230
BFGS:    1 14:33:28     -197.246881        4.245897
BFGS:    2 14:33:29     -197.772965        1.836417
BFGS:    3 14:33:29     -198.144445        1.230412
BFGS:    4 14:33:29     -198.498402        1.667691
BFGS:    5 14:33:29     -198.749197        1.579652
BFGS:    6 14:33:30     -198.946439        1.306581
BFGS:    7 14:33:30     -199.123657        1.014318
BFGS:    8 14:33:30     -199.298982        0.776215
BFGS:    9 14:33:30     -199.457270        0.559753
BFGS:   10 14:33:31     -199.530948        0.197684
BFGS:   11 14:33:31     -199.546699        0.186114
BFGS:   12 14:33:31     -199.579850        0.128769
BFGS:   13 14:33:31     -199.591029        0.125201
BFGS:   14 14:33:31     -199.600834        0.103754
BFGS:   15 14:33:32     -199.602455        0.089338
BFGS:   16 14:33:32     -199.604749        0.071910
BFGS:   17 14:33:32     -199.607394        0.047435
BFGS:   18 14:33:32     -199.609532        0.071592
BFGS:   19 14:33:33     -199.610579        0.088286
BFGS:   20 14:33:33     -199.611312        0.088160
BFGS:   21 14:33:33     -199.612297        0.074641
BFGS:   22 14:33:33     -199.613554        0.054633
BFGS:   23 14:33:33     -199.614685        0.053078
BFGS:   24 14:33:34     -199.615474        0.046461
BFGS:   25 14:33:34     -199.616128        0.039715
BFGS:   26 14:33:34     -199.616841        0.029795
BFGS:   27 14:33:34     -199.617465        0.031900
BFGS:   28 14:33:34     -199.617837        0.029843
BFGS:   29 14:33:35     -199.618066        0.025942
BFGS:   30 14:33:35     -199.618306        0.020500
BFGS:   31 14:33:35     -199.618561        0.014081
BFGS:   32 14:33:35     -199.618724        0.010431
BFGS:   33 14:33:36     -199.618792        0.009013
      Step     Time          Energy          fmax
BFGS:    0 14:52:31     -226.662095       12.451352
BFGS:    1 14:52:31     -229.087677        3.833764
BFGS:    2 14:52:32     -229.539572        1.988074
BFGS:    3 14:52:33     -229.868519        0.738288
BFGS:    4 14:52:34     -230.030710        1.139508
BFGS:    5 14:52:34     -230.162152        1.184720
BFGS:    6 14:52:35     -230.278019        1.001179
BFGS:    7 14:52:36     -230.396577        0.706132
BFGS:    8 14:52:37     -230.499961        0.511068
BFGS:    9 14:52:37     -230.571214        0.362410
BFGS:   10 14:52:38     -230.594517        0.254275
BFGS:   11 14:52:39     -230.603075        0.195705
BFGS:   12 14:52:40     -230.618946        0.088323
BFGS:   13 14:52:40     -230.626300        0.063439
BFGS:   14 14:52:41     -230.630355        0.053628
BFGS:   15 14:52:42     -230.631211        0.048405
BFGS:   16 14:52:43     -230.631913        0.033524
BFGS:   17 14:52:43     -230.632779        0.023699
BFGS:   18 14:52:44     -230.633340        0.026731
BFGS:   19 14:52:45     -230.633570        0.026522
BFGS:   20 14:52:46     -230.633696        0.029120
BFGS:   21 14:52:46     -230.633858        0.027466
BFGS:   22 14:52:47     -230.634032        0.024041
BFGS:   23 14:52:48     -230.634157        0.028126
BFGS:   24 14:52:49     -230.634236        0.025765
BFGS:   25 14:52:49     -230.634316        0.019820
BFGS:   26 14:52:50     -230.634422        0.010473
BFGS:   27 14:52:51     -230.634520        0.008259
