      Step     Time          Energy          fmax
BFGS:    0 14:32:55     -197.261530        0.581949
BFGS:    1 14:32:56     -197.411962        0.531365
BFGS:    2 14:32:56     -198.233399        0.410264
BFGS:    3 14:32:57     -198.393144        0.455602
BFGS:    4 14:32:57     -198.650262        0.414476
BFGS:    5 14:32:57     -198.828414        0.288555
BFGS:    6 14:32:57     -198.941249        0.131648
BFGS:    7 14:32:58     -198.974109        0.025955
BFGS:    8 14:32:58     -198.976506        0.003217
      Step     Time          Energy          fmax
BFGS:    0 14:51:18     -228.759908        0.475052
BFGS:    1 14:51:19     -228.873071        0.429125
BFGS:    2 14:51:20     -229.292417        0.266941
BFGS:    3 14:51:21     -229.364513        0.316882
BFGS:    4 14:51:22     -229.537163        0.329197
BFGS:    5 14:51:23     -229.659776        0.238748
BFGS:    6 14:51:24     -229.728220        0.110806
BFGS:    7 14:51:24     -229.747680        0.024866
BFGS:    8 14:51:25     -229.749631        0.002851
