      Step     Time          Energy          fmax
BFGS:    0 14:33:14     -197.167167        5.134310
BFGS:    1 14:33:14     -197.744910        2.992801
BFGS:    2 14:33:14     -198.318562        1.000324
BFGS:    3 14:33:15     -198.622210        0.905349
BFGS:    4 14:33:15     -198.865348        1.153542
BFGS:    5 14:33:15     -199.074866        1.153262
BFGS:    6 14:33:15     -199.266176        0.990706
BFGS:    7 14:33:16     -199.432915        0.764396
BFGS:    8 14:33:16     -199.595829        0.641495
BFGS:    9 14:33:16     -199.705982        0.374554
BFGS:   10 14:33:16     -199.728356        0.232791
BFGS:   11 14:33:16     -199.747527        0.183050
BFGS:   12 14:33:17     -199.768248        0.106073
BFGS:   13 14:33:17     -199.776948        0.091937
BFGS:   14 14:33:17     -199.781394        0.096382
BFGS:   15 14:33:17     -199.782957        0.075804
BFGS:   16 14:33:18     -199.785038        0.051630
BFGS:   17 14:33:18     -199.787109        0.043695
BFGS:   18 14:33:18     -199.788577        0.056342
BFGS:   19 14:33:18     -199.789382        0.062939
BFGS:   20 14:33:18     -199.790089        0.063011
BFGS:   21 14:33:19     -199.790963        0.056197
BFGS:   22 14:33:19     -199.791807        0.044421
BFGS:   23 14:33:19     -199.792449        0.041609
BFGS:   24 14:33:19     -199.793019        0.037857
BFGS:   25 14:33:20     -199.793729        0.028646
BFGS:   26 14:33:20     -199.794505        0.029504
BFGS:   27 14:33:20     -199.795041        0.031349
BFGS:   28 14:33:20     -199.795306        0.032924
BFGS:   29 14:33:20     -199.795511        0.033958
BFGS:   30 14:33:21     -199.795796        0.034600
BFGS:   31 14:33:21     -199.796116        0.035186
BFGS:   32 14:33:21     -199.796358        0.037034
BFGS:   33 14:33:21     -199.796516        0.039534
BFGS:   34 14:33:21     -199.796690        0.042628
BFGS:   35 14:33:22     -199.796975        0.047513
BFGS:   36 14:33:22     -199.797380        0.053816
BFGS:   37 14:33:22     -199.797834        0.059456
BFGS:   38 14:33:22     -199.798316        0.063702
BFGS:   39 14:33:23     -199.799019        0.069540
BFGS:   40 14:33:23     -199.800514        0.084565
BFGS:   41 14:33:23     -199.804077        0.124220
BFGS:   42 14:33:23     -199.806571        0.125357
BFGS:   43 14:33:23     -199.813233        0.131225
BFGS:   44 14:33:24     -199.822030        0.130230
BFGS:   45 14:33:24     -199.829313        0.100829
BFGS:   46 14:33:24     -199.833737        0.091662
BFGS:   47 14:33:24     -199.842843        0.121392
BFGS:   48 14:33:25     -199.846467        0.084242
BFGS:   49 14:33:25     -199.849468        0.098492
BFGS:   50 14:33:25     -199.851249        0.083109
BFGS:   51 14:33:25     -199.854713        0.065062
BFGS:   52 14:33:25     -199.856889        0.055833
BFGS:   53 14:33:25     -199.858519        0.044416
BFGS:   54 14:33:26     -199.859592        0.047575
BFGS:   55 14:33:26     -199.861027        0.046712
BFGS:   56 14:33:26     -199.862528        0.037745
BFGS:   57 14:33:26     -199.863607        0.035342
BFGS:   58 14:33:27     -199.864185        0.036736
BFGS:   59 14:33:27     -199.864659        0.031106
BFGS:   60 14:33:27     -199.865192        0.018891
BFGS:   61 14:33:27     -199.865594        0.014110
BFGS:   62 14:33:27     -199.865779        0.013774
BFGS:   63 14:33:28     -199.865875        0.013764
BFGS:   64 14:33:28     -199.865989        0.012151
BFGS:   65 14:33:28     -199.866126        0.009945
      Step     Time          Energy          fmax
BFGS:    0 14:52:06     -229.041315        4.252195
BFGS:    1 14:52:07     -229.493982        2.747245
BFGS:    2 14:52:07     -230.013677        0.948142
BFGS:    3 14:52:08     -230.186857        0.546672
BFGS:    4 14:52:09     -230.305741        0.774897
BFGS:    5 14:52:10     -230.420402        0.825648
BFGS:    6 14:52:10     -230.540331        0.716212
BFGS:    7 14:52:11     -230.642962        0.501955
BFGS:    8 14:52:12     -230.720433        0.378890
BFGS:    9 14:52:12     -230.755997        0.316995
BFGS:   10 14:52:13     -230.768022        0.227246
BFGS:   11 14:52:14     -230.781213        0.111707
BFGS:   12 14:52:15     -230.790530        0.060505
BFGS:   13 14:52:15     -230.794144        0.079986
BFGS:   14 14:52:16     -230.795405        0.072944
BFGS:   15 14:52:17     -230.796429        0.051601
BFGS:   16 14:52:18     -230.797510        0.034933
BFGS:   17 14:52:18     -230.798233        0.029446
BFGS:   18 14:52:19     -230.798574        0.038391
BFGS:   19 14:52:20     -230.798823        0.045457
BFGS:   20 14:52:21     -230.799144        0.045395
BFGS:   21 14:52:21     -230.799450        0.035692
BFGS:   22 14:52:22     -230.799637        0.023103
BFGS:   23 14:52:23     -230.799746        0.018181
BFGS:   24 14:52:24     -230.799872        0.016277
BFGS:   25 14:52:25     -230.800052        0.012226
BFGS:   26 14:52:25     -230.800226        0.012774
BFGS:   27 14:52:26     -230.800323        0.011738
BFGS:   28 14:52:27     -230.800369        0.010771
BFGS:   29 14:52:28     -230.800409        0.011811
BFGS:   30 14:52:29     -230.800459        0.010818
BFGS:   31 14:52:30     -230.800500        0.008380
