      Step     Time          Energy          fmax
BFGS:    0 14:32:59     -197.526851        3.843368
BFGS:    1 14:32:59     -197.905762        2.621326
BFGS:    2 14:32:59     -198.552872        0.577755
BFGS:    3 14:32:59     -198.801916        0.829703
BFGS:    4 14:33:00     -199.026652        0.966095
BFGS:    5 14:33:00     -199.233010        0.929124
BFGS:    6 14:33:00     -199.430618        0.767550
BFGS:    7 14:33:00     -199.603270        0.726555
BFGS:    8 14:33:01     -199.751014        0.569924
BFGS:    9 14:33:01     -199.802750        0.248103
BFGS:   10 14:33:01     -199.817556        0.209843
BFGS:   11 14:33:01     -199.843980        0.097389
BFGS:   12 14:33:01     -199.850726        0.068105
BFGS:   13 14:33:02     -199.855793        0.067059
BFGS:   14 14:33:02     -199.856929        0.057249
BFGS:   15 14:33:02     -199.858900        0.042471
BFGS:   16 14:33:02     -199.860386        0.047879
BFGS:   17 14:33:03     -199.861427        0.054458
BFGS:   18 14:33:03     -199.862064        0.055838
BFGS:   19 14:33:03     -199.862786        0.058024
BFGS:   20 14:33:03     -199.863569        0.050162
BFGS:   21 14:33:04     -199.864178        0.042547
BFGS:   22 14:33:04     -199.864578        0.043649
BFGS:   23 14:33:04     -199.864984        0.038498
BFGS:   24 14:33:04     -199.865544        0.027247
BFGS:   25 14:33:05     -199.866109        0.024634
BFGS:   26 14:33:05     -199.866433        0.020461
BFGS:   27 14:33:05     -199.866566        0.016991
BFGS:   28 14:33:05     -199.866666        0.013526
BFGS:   29 14:33:06     -199.866792        0.010162
BFGS:   30 14:33:06     -199.866898        0.007485
      Step     Time          Energy          fmax
BFGS:    0 14:51:26     -229.318147        3.090368
BFGS:    1 14:51:27     -229.616791        2.254298
BFGS:    2 14:51:28     -230.139776        0.644168
BFGS:    3 14:51:29     -230.269476        0.493950
BFGS:    4 14:51:29     -230.381441        0.655407
BFGS:    5 14:51:30     -230.499709        0.682326
BFGS:    6 14:51:31     -230.622014        0.566694
BFGS:    7 14:51:32     -230.713211        0.411314
BFGS:    8 14:51:32     -230.769801        0.281209
BFGS:    9 14:51:33     -230.790306        0.233848
BFGS:   10 14:51:34     -230.801484        0.163381
BFGS:   11 14:51:35     -230.815243        0.070075
BFGS:   12 14:51:35     -230.821088        0.058146
BFGS:   13 14:51:36     -230.822818        0.048558
BFGS:   14 14:51:37     -230.823635        0.041887
BFGS:   15 14:51:38     -230.824536        0.032775
BFGS:   16 14:51:38     -230.825286        0.028394
BFGS:   17 14:51:39     -230.825703        0.031807
BFGS:   18 14:51:40     -230.825930        0.041755
BFGS:   19 14:51:41     -230.826181        0.045564
BFGS:   20 14:51:41     -230.826478        0.040212
BFGS:   21 14:51:42     -230.826705        0.026891
BFGS:   22 14:51:43     -230.826826        0.017053
BFGS:   23 14:51:43     -230.826918        0.016162
BFGS:   24 14:51:44     -230.827052        0.012626
BFGS:   25 14:51:45     -230.827211        0.008745
