      Step     Time          Energy          fmax
BFGS:    0 14:33:06     -197.495572        3.878721
BFGS:    1 14:33:06     -197.871061        2.674463
BFGS:    2 14:33:06     -198.530669        0.623909
BFGS:    3 14:33:07     -198.788609        0.826972
BFGS:    4 14:33:07     -199.017250        0.944458
BFGS:    5 14:33:07     -199.220048        0.899371
BFGS:    6 14:33:07     -199.410751        0.746738
BFGS:    7 14:33:08     -199.576898        0.711114
BFGS:    8 14:33:08     -199.722930        0.613507
BFGS:    9 14:33:08     -199.782095        0.319978
BFGS:   10 14:33:08     -199.798727        0.240286
BFGS:   11 14:33:09     -199.827659        0.126098
BFGS:   12 14:33:09     -199.836933        0.080666
BFGS:   13 14:33:09     -199.843694        0.068375
BFGS:   14 14:33:09     -199.844944        0.059220
BFGS:   15 14:33:10     -199.846642        0.039680
BFGS:   16 14:33:10     -199.848247        0.043978
BFGS:   17 14:33:10     -199.849473        0.050190
BFGS:   18 14:33:10     -199.850204        0.050452
BFGS:   19 14:33:10     -199.850895        0.055518
BFGS:   20 14:33:11     -199.851698        0.052119
BFGS:   21 14:33:11     -199.852414        0.040408
BFGS:   22 14:33:11     -199.852904        0.031533
BFGS:   23 14:33:11     -199.853331        0.033298
BFGS:   24 14:33:12     -199.853880        0.026680
BFGS:   25 14:33:12     -199.854475        0.020125
BFGS:   26 14:33:12     -199.854853        0.016044
BFGS:   27 14:33:13     -199.855007        0.012662
BFGS:   28 14:33:13     -199.855104        0.012783
BFGS:   29 14:33:14     -199.855232        0.012503
BFGS:   30 14:33:14     -199.855358        0.008458
      Step     Time          Energy          fmax
BFGS:    0 14:51:46     -229.303232        3.125594
BFGS:    1 14:51:46     -229.602194        2.290135
BFGS:    2 14:51:47     -230.129595        0.666344
BFGS:    3 14:51:48     -230.260983        0.495487
BFGS:    4 14:51:49     -230.373434        0.653949
BFGS:    5 14:51:49     -230.491240        0.682914
BFGS:    6 14:51:50     -230.614851        0.574214
BFGS:    7 14:51:51     -230.707812        0.420781
BFGS:    8 14:51:52     -230.765176        0.269093
BFGS:    9 14:51:52     -230.785589        0.224940
BFGS:   10 14:51:53     -230.796388        0.169803
BFGS:   11 14:51:54     -230.809946        0.111566
BFGS:   12 14:51:55     -230.815995        0.056199
BFGS:   13 14:51:56     -230.817866        0.047722
BFGS:   14 14:51:57     -230.818664        0.039269
BFGS:   15 14:51:58     -230.819518        0.029983
BFGS:   16 14:51:58     -230.820229        0.020847
BFGS:   17 14:51:59     -230.820630        0.028551
BFGS:   18 14:52:00     -230.820851        0.038589
BFGS:   19 14:52:01     -230.821093        0.042951
BFGS:   20 14:52:02     -230.821378        0.038711
BFGS:   21 14:52:02     -230.821589        0.026600
BFGS:   22 14:52:03     -230.821697        0.015811
BFGS:   23 14:52:04     -230.821776        0.012158
BFGS:   24 14:52:05     -230.821886        0.010136
BFGS:   25 14:52:05     -230.822018        0.008761
