      Step     Time          Energy          fmax
BFGS:    0 16:24:35    -1317.554252        5.188058
BFGS:    1 16:24:57    -1318.282497        3.535509
BFGS:    2 16:25:18    -1318.530839        2.641217
BFGS:    3 16:25:38    -1318.738518        2.648719
BFGS:    4 16:26:01    -1319.039293        0.579944
BFGS:    5 16:26:19    -1319.051121        0.281550
BFGS:    6 16:26:42    -1319.055084        0.292705
BFGS:    7 16:27:02    -1319.062296        0.304867
BFGS:    8 16:27:20    -1319.066057        0.212514
BFGS:    9 16:27:45    -1319.068645        0.083287
BFGS:   10 16:28:05    -1319.069169        0.026208
BFGS:   11 16:28:29    -1319.069233        0.013531
BFGS:   12 16:28:53    -1319.069236        0.003281
