#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
+0.043         +0.043          eV/angstrom    0.154    0.0104    0.000     0     0     forces('Ar32_frame001')
-0.028         -0.028          eV/angstrom    0.154    0.0104    0.000     0     1     forces('Ar32_frame001')
+0.041         +0.042          eV/angstrom    0.154    0.0104    0.000     0     2     forces('Ar32_frame001')
+0.027         +0.023          eV/angstrom    0.154    0.0104    0.000     1     0     forces('Ar32_frame001')
-0.042         -0.043          eV/angstrom    0.154    0.0104    0.000     1     1     forces('Ar32_frame001')
-0.011         -0.011          eV/angstrom    0.154    0.0104    0.000     1     2     forces('Ar32_frame001')
-0.005         -0.009          eV/angstrom    0.154    0.0104    0.000     2     0     forces('Ar32_frame001')
-0.077         -0.079          eV/angstrom    0.154    0.0104    0.000     2     1     forces('Ar32_frame001')
+0.062         +0.062          eV/angstrom    0.154    0.0104    0.000     2     2     forces('Ar32_frame001')
+0.348         +0.340          eV/angstrom    0.154    0.0104    0.000     3     0     forces('Ar32_frame001')
-0.384         -0.375          eV/angstrom    0.154    0.0104    0.000     3     1     forces('Ar32_frame001')
-0.123         -0.116          eV/angstrom    0.154    0.0104    0.000     3     2     forces('Ar32_frame001')
-0.210         -0.206          eV/angstrom    0.154    0.0104    0.000     4     0     forces('Ar32_frame001')
-0.097         -0.092          eV/angstrom    0.154    0.0104    0.000     4     1     forces('Ar32_frame001')
+0.307         +0.302          eV/angstrom    0.154    0.0104    0.000     4     2     forces('Ar32_frame001')
-0.122         -0.119          eV/angstrom    0.154    0.0104    0.000     5     0     forces('Ar32_frame001')
+0.028         +0.027          eV/angstrom    0.154    0.0104    0.000     5     1     forces('Ar32_frame001')
-0.035         -0.031          eV/angstrom    0.154    0.0104    0.000     5     2     forces('Ar32_frame001')
-0.011         -0.012          eV/angstrom    0.154    0.0104    0.000     6     0     forces('Ar32_frame001')
+0.047         +0.052          eV/angstrom    0.154    0.0104    0.000     6     1     forces('Ar32_frame001')
-0.008         -0.007          eV/angstrom    0.154    0.0104    0.000     6     2     forces('Ar32_frame001')
-0.098         -0.098          eV/angstrom    0.154    0.0104    0.000     7     0     forces('Ar32_frame001')
+0.069         +0.068          eV/angstrom    0.154    0.0104    0.000     7     1     forces('Ar32_frame001')
+0.293         +0.284          eV/angstrom    0.154    0.0104    0.000     7     2     forces('Ar32_frame001')
-0.081         -0.080          eV/angstrom    0.154    0.0104    0.000     8     0     forces('Ar32_frame001')
+0.002         +0.002          eV/angstrom    0.154    0.0104    0.000     8     1     forces('Ar32_frame001')
+0.051         +0.048          eV/angstrom    0.154    0.0104    0.000     8     2     forces('Ar32_frame001')
-0.263         -0.256          eV/angstrom    0.154    0.0104    0.000     9     0     forces('Ar32_frame001')
+0.263         +0.255          eV/angstrom    0.154    0.0104    0.000     9     1     forces('Ar32_frame001')
-0.025         -0.022          eV/angstrom    0.154    0.0104    0.000     9     2     forces('Ar32_frame001')
+0.061         +0.057          eV/angstrom    0.154    0.0104    0.000     10    0     forces('Ar32_frame001')
-0.018         -0.018          eV/angstrom    0.154    0.0104    0.000     10    1     forces('Ar32_frame001')
+0.171         +0.167          eV/angstrom    0.154    0.0104    0.000     10    2     forces('Ar32_frame001')
-0.169         -0.162          eV/angstrom    0.154    0.0104    0.000     11    0     forces('Ar32_frame001')
+0.244         +0.238          eV/angstrom    0.154    0.0104    0.000     11    1     forces('Ar32_frame001')
+0.132         +0.127          eV/angstrom    0.154    0.0104    0.000     11    2     forces('Ar32_frame001')
-0.017         -0.017          eV/angstrom    0.154    0.0104    0.000     12    0     forces('Ar32_frame001')
+0.039         +0.041          eV/angstrom    0.154    0.0104    0.000     12    1     forces('Ar32_frame001')
-0.125         -0.121          eV/angstrom    0.154    0.0104    0.000     12    2     forces('Ar32_frame001')
-0.060         -0.058          eV/angstrom    0.154    0.0104    0.000     13    0     forces('Ar32_frame001')
+0.093         +0.091          eV/angstrom    0.154    0.0104    0.000     13    1     forces('Ar32_frame001')
+0.233         +0.224          eV/angstrom    0.154    0.0104    0.000     13    2     forces('Ar32_frame001')
+0.006         +0.006          eV/angstrom    0.154    0.0104    0.000     14    0     forces('Ar32_frame001')
+0.080         +0.080          eV/angstrom    0.154    0.0104    0.000     14    1     forces('Ar32_frame001')
+0.006         +0.007          eV/angstrom    0.154    0.0104    0.000     14    2     forces('Ar32_frame001')
-0.140         -0.133          eV/angstrom    0.154    0.0104    0.000     15    0     forces('Ar32_frame001')
+0.030         +0.033          eV/angstrom    0.154    0.0104    0.000     15    1     forces('Ar32_frame001')
+0.011         +0.008          eV/angstrom    0.154    0.0104    0.000     15    2     forces('Ar32_frame001')
-0.035         -0.034          eV/angstrom    0.154    0.0104    0.000     16    0     forces('Ar32_frame001')
-0.208         -0.199          eV/angstrom    0.154    0.0104    0.000     16    1     forces('Ar32_frame001')
-0.255         -0.247          eV/angstrom    0.154    0.0104    0.000     16    2     forces('Ar32_frame001')
-0.017         -0.020          eV/angstrom    0.154    0.0104    0.000     17    0     forces('Ar32_frame001')
-0.107         -0.104          eV/angstrom    0.154    0.0104    0.000     17    1     forces('Ar32_frame001')
-0.135         -0.134          eV/angstrom    0.154    0.0104    0.000     17    2     forces('Ar32_frame001')
-0.122         -0.117          eV/angstrom    0.154    0.0104    0.000     18    0     forces('Ar32_frame001')
-0.156         -0.154          eV/angstrom    0.154    0.0104    0.000     18    1     forces('Ar32_frame001')
-0.029         -0.028          eV/angstrom    0.154    0.0104    0.000     18    2     forces('Ar32_frame001')
+0.045         +0.049          eV/angstrom    0.154    0.0104    0.000     19    0     forces('Ar32_frame001')
+0.086         +0.086          eV/angstrom    0.154    0.0104    0.000     19    1     forces('Ar32_frame001')
-0.115         -0.116          eV/angstrom    0.154    0.0104    0.000     19    2     forces('Ar32_frame001')
-0.154         -0.151          eV/angstrom    0.154    0.0104    0.000     20    0     forces('Ar32_frame001')
+0.023         +0.020          eV/angstrom    0.154    0.0104    0.000     20    1     forces('Ar32_frame001')
+0.094         +0.089          eV/angstrom    0.154    0.0104    0.000     20    2     forces('Ar32_frame001')
+0.269         +0.265          eV/angstrom    0.154    0.0104    0.000     21    0     forces('Ar32_frame001')
+0.007         +0.004          eV/angstrom    0.154    0.0104    0.000     21    1     forces('Ar32_frame001')
-0.319         -0.313          eV/angstrom    0.154    0.0104    0.000     21    2     forces('Ar32_frame001')
+0.195         +0.194          eV/angstrom    0.154    0.0104    0.000     22    0     forces('Ar32_frame001')
+0.054         +0.054          eV/angstrom    0.154    0.0104    0.000     22    1     forces('Ar32_frame001')
-0.292         -0.286          eV/angstrom    0.154    0.0104    0.000     22    2     forces('Ar32_frame001')
+0.036         +0.036          eV/angstrom    0.154    0.0104    0.000     23    0     forces('Ar32_frame001')
-0.118         -0.118          eV/angstrom    0.154    0.0104    0.000     23    1     forces('Ar32_frame001')
+0.009         +0.008          eV/angstrom    0.154    0.0104    0.000     23    2     forces('Ar32_frame001')
+0.127         +0.122          eV/angstrom    0.154    0.0104    0.000     24    0     forces('Ar32_frame001')
+0.083         +0.079          eV/angstrom    0.154    0.0104    0.000     24    1     forces('Ar32_frame001')
+0.016         +0.013          eV/angstrom    0.154    0.0104    0.000     24    2     forces('Ar32_frame001')
+0.105         +0.096          eV/angstrom    0.154    0.0104    0.000     25    0     forces('Ar32_frame001')
+0.188         +0.183          eV/angstrom    0.154    0.0104    0.000     25    1     forces('Ar32_frame001')
-0.036         -0.035          eV/angstrom    0.154    0.0104    0.000     25    2     forces('Ar32_frame001')
-0.035         -0.035          eV/angstrom    0.154    0.0104    0.000     26    0     forces('Ar32_frame001')
-0.038         -0.042          eV/angstrom    0.154    0.0104    0.000     26    1     forces('Ar32_frame001')
+0.002         +0.003          eV/angstrom    0.154    0.0104    0.000     26    2     forces('Ar32_frame001')
+0.054         +0.053          eV/angstrom    0.154    0.0104    0.000     27    0     forces('Ar32_frame001')
+0.023         +0.021          eV/angstrom    0.154    0.0104    0.000     27    1     forces('Ar32_frame001')
+0.084         +0.086          eV/angstrom    0.154    0.0104    0.000     27    2     forces('Ar32_frame001')
+0.061         +0.063          eV/angstrom    0.154    0.0104    0.000     28    0     forces('Ar32_frame001')
+0.010         +0.012          eV/angstrom    0.154    0.0104    0.000     28    1     forces('Ar32_frame001')
-0.011         -0.015          eV/angstrom    0.154    0.0104    0.000     28    2     forces('Ar32_frame001')
+0.023         +0.022          eV/angstrom    0.154    0.0104    0.000     29    0     forces('Ar32_frame001')
+0.017         +0.017          eV/angstrom    0.154    0.0104    0.000     29    1     forces('Ar32_frame001')
+0.004         +0.002          eV/angstrom    0.154    0.0104    0.000     29    2     forces('Ar32_frame001')
-0.073         -0.068          eV/angstrom    0.154    0.0104    0.000     30    0     forces('Ar32_frame001')
+0.097         +0.095          eV/angstrom    0.154    0.0104    0.000     30    1     forces('Ar32_frame001')
+0.085         +0.086          eV/angstrom    0.154    0.0104    0.000     30    2     forces('Ar32_frame001')
+0.212         +0.204          eV/angstrom    0.154    0.0104    0.000     31    0     forces('Ar32_frame001')
-0.210         -0.205          eV/angstrom    0.154    0.0104    0.000     31    1     forces('Ar32_frame001')
-0.082         -0.077          eV/angstrom    0.154    0.0104    0.000     31    2     forces('Ar32_frame001')
-0.030         -0.026          eV/angstrom    0.154    0.0104    0.000     0     0     forces('Ar32_frame002')
-0.040         -0.040          eV/angstrom    0.154    0.0104    0.000     0     1     forces('Ar32_frame002')
-0.108         -0.101          eV/angstrom    0.154    0.0104    0.000     0     2     forces('Ar32_frame002')
-0.112         -0.112          eV/angstrom    0.154    0.0104    0.000     1     0     forces('Ar32_frame002')
+0.079         +0.078          eV/angstrom    0.154    0.0104    0.000     1     1     forces('Ar32_frame002')
+0.033         +0.030          eV/angstrom    0.154    0.0104    0.000     1     2     forces('Ar32_frame002')
-0.019         -0.018          eV/angstrom    0.154    0.0104    0.000     2     0     forces('Ar32_frame002')
+0.086         +0.085          eV/angstrom    0.154    0.0104    0.000     2     1     forces('Ar32_frame002')
+0.077         +0.079          eV/angstrom    0.154    0.0104    0.000     2     2     forces('Ar32_frame002')
+0.011         +0.009          eV/angstrom    0.154    0.0104    0.000     3     0     forces('Ar32_frame002')
-0.028         -0.028          eV/angstrom    0.154    0.0104    0.000     3     1     forces('Ar32_frame002')
-0.011         -0.010          eV/angstrom    0.154    0.0104    0.000     3     2     forces('Ar32_frame002')
-0.007         -0.009          eV/angstrom    0.154    0.0104    0.000     4     0     forces('Ar32_frame002')
+0.022         +0.022          eV/angstrom    0.154    0.0104    0.000     4     1     forces('Ar32_frame002')
-0.204         -0.200          eV/angstrom    0.154    0.0104    0.000     4     2     forces('Ar32_frame002')
+0.088         +0.089          eV/angstrom    0.154    0.0104    0.000     5     0     forces('Ar32_frame002')
-0.071         -0.070          eV/angstrom    0.154    0.0104    0.000     5     1     forces('Ar32_frame002')
+0.018         +0.018          eV/angstrom    0.154    0.0104    0.000     5     2     forces('Ar32_frame002')
+0.008         +0.008          eV/angstrom    0.154    0.0104    0.000     6     0     forces('Ar32_frame002')
+0.096         +0.094          eV/angstrom    0.154    0.0104    0.000     6     1     forces('Ar32_frame002')
-0.097         -0.095          eV/angstrom    0.154    0.0104    0.000     6     2     forces('Ar32_frame002')
-0.001         +0.000          eV/angstrom    0.154    0.0104    0.000     7     0     forces('Ar32_frame002')
-0.028         -0.027          eV/angstrom    0.154    0.0104    0.000     7     1     forces('Ar32_frame002')
-0.082         -0.079          eV/angstrom    0.154    0.0104    0.000     7     2     forces('Ar32_frame002')
-0.074         -0.076          eV/angstrom    0.154    0.0104    0.000     8     0     forces('Ar32_frame002')
-0.030         -0.027          eV/angstrom    0.154    0.0104    0.000     8     1     forces('Ar32_frame002')
+0.026         +0.026          eV/angstrom    0.154    0.0104    0.000     8     2     forces('Ar32_frame002')
-0.100         -0.096          eV/angstrom    0.154    0.0104    0.000     9     0     forces('Ar32_frame002')
-0.075         -0.071          eV/angstrom    0.154    0.0104    0.000     9     1     forces('Ar32_frame002')
-0.160         -0.155          eV/angstrom    0.154    0.0104    0.000     9     2     forces('Ar32_frame002')
-0.264         -0.255          eV/angstrom    0.154    0.0104    0.000     10    0     forces('Ar32_frame002')
-0.073         -0.070          eV/angstrom    0.154    0.0104    0.000     10    1     forces('Ar32_frame002')
-0.179         -0.173          eV/angstrom    0.154    0.0104    0.000     10    2     forces('Ar32_frame002')
+0.119         +0.116          eV/angstrom    0.154    0.0104    0.000     11    0     forces('Ar32_frame002')
+0.204         +0.194          eV/angstrom    0.154    0.0104    0.000     11    1     forces('Ar32_frame002')
-0.089         -0.086          eV/angstrom    0.154    0.0104    0.000     11    2     forces('Ar32_frame002')
+0.075         +0.070          eV/angstrom    0.154    0.0104    0.000     12    0     forces('Ar32_frame002')
+0.026         +0.025          eV/angstrom    0.154    0.0104    0.000     12    1     forces('Ar32_frame002')
+0.179         +0.169          eV/angstrom    0.154    0.0104    0.000     12    2     forces('Ar32_frame002')
+0.021         +0.022          eV/angstrom    0.154    0.0104    0.000     13    0     forces('Ar32_frame002')
-0.013         -0.010          eV/angstrom    0.154    0.0104    0.000     13    1     forces('Ar32_frame002')
-0.028         -0.027          eV/angstrom    0.154    0.0104    0.000     13    2     forces('Ar32_frame002')
+0.004         +0.010          eV/angstrom    0.154    0.0104    0.000     14    0     forces('Ar32_frame002')
-0.401         -0.401          eV/angstrom    0.154    0.0104    0.000     14    1     forces('Ar32_frame002')
+0.046         +0.044          eV/angstrom    0.154    0.0104    0.000     14    2     forces('Ar32_frame002')
-0.135         -0.128          eV/angstrom    0.154    0.0104    0.000     15    0     forces('Ar32_frame002')
-0.024         -0.023          eV/angstrom    0.154    0.0104    0.000     15    1     forces('Ar32_frame002')
+0.114         +0.113          eV/angstrom    0.154    0.0104    0.000     15    2     forces('Ar32_frame002')
-0.047         -0.047          eV/angstrom    0.154    0.0104    0.000     16    0     forces('Ar32_frame002')
+0.001         +0.001          eV/angstrom    0.154    0.0104    0.000     16    1     forces('Ar32_frame002')
+0.064         +0.064          eV/angstrom    0.154    0.0104    0.000     16    2     forces('Ar32_frame002')
+0.026         +0.028          eV/angstrom    0.154    0.0104    0.000     17    0     forces('Ar32_frame002')
+0.018         +0.017          eV/angstrom    0.154    0.0104    0.000     17    1     forces('Ar32_frame002')
+0.016         +0.015          eV/angstrom    0.154    0.0104    0.000     17    2     forces('Ar32_frame002')
+0.041         +0.038          eV/angstrom    0.154    0.0104    0.000     18    0     forces('Ar32_frame002')
+0.167         +0.162          eV/angstrom    0.154    0.0104    0.000     18    1     forces('Ar32_frame002')
+0.073         +0.071          eV/angstrom    0.154    0.0104    0.000     18    2     forces('Ar32_frame002')
+0.002         +0.004          eV/angstrom    0.154    0.0104    0.000     19    0     forces('Ar32_frame002')
+0.001         +0.003          eV/angstrom    0.154    0.0104    0.000     19    1     forces('Ar32_frame002')
+0.005         +0.005          eV/angstrom    0.154    0.0104    0.000     19    2     forces('Ar32_frame002')
+0.050         +0.048          eV/angstrom    0.154    0.0104    0.000     20    0     forces('Ar32_frame002')
+0.034         +0.032          eV/angstrom    0.154    0.0104    0.000     20    1     forces('Ar32_frame002')
+0.020         +0.023          eV/angstrom    0.154    0.0104    0.000     20    2     forces('Ar32_frame002')
-0.099         -0.091          eV/angstrom    0.154    0.0104    0.000     21    0     forces('Ar32_frame002')
-0.236         -0.227          eV/angstrom    0.154    0.0104    0.000     21    1     forces('Ar32_frame002')
-0.012         -0.015          eV/angstrom    0.154    0.0104    0.000     21    2     forces('Ar32_frame002')
+0.119         +0.116          eV/angstrom    0.154    0.0104    0.000     22    0     forces('Ar32_frame002')
-0.030         -0.027          eV/angstrom    0.154    0.0104    0.000     22    1     forces('Ar32_frame002')
+0.032         +0.032          eV/angstrom    0.154    0.0104    0.000     22    2     forces('Ar32_frame002')
+0.056         +0.055          eV/angstrom    0.154    0.0104    0.000     23    0     forces('Ar32_frame002')
-0.004         -0.006          eV/angstrom    0.154    0.0104    0.000     23    1     forces('Ar32_frame002')
+0.067         +0.064          eV/angstrom    0.154    0.0104    0.000     23    2     forces('Ar32_frame002')
-0.148         -0.145          eV/angstrom    0.154    0.0104    0.000     24    0     forces('Ar32_frame002')
+0.477         +0.475          eV/angstrom    0.154    0.0104    0.000     24    1     forces('Ar32_frame002')
+0.070         +0.067          eV/angstrom    0.154    0.0104    0.000     24    2     forces('Ar32_frame002')
+0.177         +0.168          eV/angstrom    0.154    0.0104    0.000     25    0     forces('Ar32_frame002')
+0.026         +0.022          eV/angstrom    0.154    0.0104    0.000     25    1     forces('Ar32_frame002')
+0.075         +0.067          eV/angstrom    0.154    0.0104    0.000     25    2     forces('Ar32_frame002')
+0.165         +0.156          eV/angstrom    0.154    0.0104    0.000     26    0     forces('Ar32_frame002')
-0.095         -0.094          eV/angstrom    0.154    0.0104    0.000     26    1     forces('Ar32_frame002')
+0.133         +0.130          eV/angstrom    0.154    0.0104    0.000     26    2     forces('Ar32_frame002')
-0.029         -0.027          eV/angstrom    0.154    0.0104    0.000     27    0     forces('Ar32_frame002')
-0.067         -0.069          eV/angstrom    0.154    0.0104    0.000     27    1     forces('Ar32_frame002')
-0.033         -0.029          eV/angstrom    0.154    0.0104    0.000     27    2     forces('Ar32_frame002')
+0.033         +0.029          eV/angstrom    0.154    0.0104    0.000     28    0     forces('Ar32_frame002')
+0.082         +0.083          eV/angstrom    0.154    0.0104    0.000     28    1     forces('Ar32_frame002')
+0.058         +0.054          eV/angstrom    0.154    0.0104    0.000     28    2     forces('Ar32_frame002')
-0.095         -0.091          eV/angstrom    0.154    0.0104    0.000     29    0     forces('Ar32_frame002')
+0.024         +0.022          eV/angstrom    0.154    0.0104    0.000     29    1     forces('Ar32_frame002')
-0.055         -0.053          eV/angstrom    0.154    0.0104    0.000     29    2     forces('Ar32_frame002')
+0.043         +0.041          eV/angstrom    0.154    0.0104    0.000     30    0     forces('Ar32_frame002')
-0.073         -0.069          eV/angstrom    0.154    0.0104    0.000     30    1     forces('Ar32_frame002')
+0.011         +0.011          eV/angstrom    0.154    0.0104    0.000     30    2     forces('Ar32_frame002')
+0.121         +0.114          eV/angstrom    0.154    0.0104    0.000     31    0     forces('Ar32_frame002')
-0.054         -0.057          eV/angstrom    0.154    0.0104    0.000     31    1     forces('Ar32_frame002')
-0.061         -0.058          eV/angstrom    0.154    0.0104    0.000     31    2     forces('Ar32_frame002')
-0.028         -0.024          eV/angstrom    0.154    0.0104    0.000     0     0     forces('Ar32_frame003')
+0.034         +0.035          eV/angstrom    0.154    0.0104    0.000     0     1     forces('Ar32_frame003')
-0.006         -0.007          eV/angstrom    0.154    0.0104    0.000     0     2     forces('Ar32_frame003')
-0.188         -0.183          eV/angstrom    0.154    0.0104    0.000     1     0     forces('Ar32_frame003')
-0.354         -0.345          eV/angstrom    0.154    0.0104    0.000     1     1     forces('Ar32_frame003')
+0.085         +0.088          eV/angstrom    0.154    0.0104    0.000     1     2     forces('Ar32_frame003')
-0.070         -0.068          eV/angstrom    0.154    0.0104    0.000     2     0     forces('Ar32_frame003')
-0.015         -0.014          eV/angstrom    0.154    0.0104    0.000     2     1     forces('Ar32_frame003')
-0.076         -0.073          eV/angstrom    0.154    0.0104    0.000     2     2     forces('Ar32_frame003')
+0.072         +0.074          eV/angstrom    0.154    0.0104    0.000     3     0     forces('Ar32_frame003')
-0.008         -0.008          eV/angstrom    0.154    0.0104    0.000     3     1     forces('Ar32_frame003')
+0.099         +0.097          eV/angstrom    0.154    0.0104    0.000     3     2     forces('Ar32_frame003')
+0.230         +0.225          eV/angstrom    0.154    0.0104    0.000     4     0     forces('Ar32_frame003')
-0.078         -0.074          eV/angstrom    0.154    0.0104    0.000     4     1     forces('Ar32_frame003')
+0.269         +0.264          eV/angstrom    0.154    0.0104    0.000     4     2     forces('Ar32_frame003')
-0.103         -0.100          eV/angstrom    0.154    0.0104    0.000     5     0     forces('Ar32_frame003')
+0.067         +0.066          eV/angstrom    0.154    0.0104    0.000     5     1     forces('Ar32_frame003')
+0.115         +0.106          eV/angstrom    0.154    0.0104    0.000     5     2     forces('Ar32_frame003')
-0.054         -0.051          eV/angstrom    0.154    0.0104    0.000     6     0     forces('Ar32_frame003')
-0.109         -0.105          eV/angstrom    0.154    0.0104    0.000     6     1     forces('Ar32_frame003')
+0.094         +0.090          eV/angstrom    0.154    0.0104    0.000     6     2     forces('Ar32_frame003')
-0.118         -0.116          eV/angstrom    0.154    0.0104    0.000     7     0     forces('Ar32_frame003')
+0.038         +0.034          eV/angstrom    0.154    0.0104    0.000     7     1     forces('Ar32_frame003')
+0.050         +0.050          eV/angstrom    0.154    0.0104    0.000     7     2     forces('Ar32_frame003')
-0.034         -0.034          eV/angstrom    0.154    0.0104    0.000     8     0     forces('Ar32_frame003')
+0.082         +0.079          eV/angstrom    0.154    0.0104    0.000     8     1     forces('Ar32_frame003')
-0.024         -0.021          eV/angstrom    0.154    0.0104    0.000     8     2     forces('Ar32_frame003')
-0.058         -0.056          eV/angstrom    0.154    0.0104    0.000     9     0     forces('Ar32_frame003')
-0.029         -0.027          eV/angstrom    0.154    0.0104    0.000     9     1     forces('Ar32_frame003')
-0.078         -0.075          eV/angstrom    0.154    0.0104    0.000     9     2     forces('Ar32_frame003')
+0.063         +0.063          eV/angstrom    0.154    0.0104    0.000     10    0     forces('Ar32_frame003')
+0.034         +0.036          eV/angstrom    0.154    0.0104    0.000     10    1     forces('Ar32_frame003')
-0.045         -0.045          eV/angstrom    0.154    0.0104    0.000     10    2     forces('Ar32_frame003')
+0.670         +0.681          eV/angstrom    0.154    0.0104    0.000     11    0     forces('Ar32_frame003')
-0.414         -0.431          eV/angstrom    0.154    0.0104    0.000     11    1     forces('Ar32_frame003')
+0.203         +0.220          eV/angstrom    0.154    0.0104    0.000     11    2     forces('Ar32_frame003')
