#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
+0.043         +0.232          eV/angstrom    0.154    0.0104    0.016     0     0     forces('Ar32_frame001')
-0.028         -0.127          eV/angstrom    0.154    0.0104    0.004     0     1     forces('Ar32_frame001')
+0.041         +0.199          eV/angstrom    0.154    0.0104    0.011     0     2     forces('Ar32_frame001')
+0.027         +0.082          eV/angstrom    0.154    0.0104    0.001     1     0     forces('Ar32_frame001')
-0.042         -0.244          eV/angstrom    0.154    0.0104    0.018     1     1     forces('Ar32_frame001')
-0.011         -0.034          eV/angstrom    0.154    0.0104    0.000     1     2     forces('Ar32_frame001')
-0.005         -0.071          eV/angstrom    0.154    0.0104    0.002     2     0     forces('Ar32_frame001')
-0.077         -0.432          eV/angstrom    0.154    0.0104    0.055     2     1     forces('Ar32_frame001')
+0.062         +0.341          eV/angstrom    0.154    0.0104    0.034     2     2     forces('Ar32_frame001')
+0.348         +1.674          eV/angstrom    0.154    0.0104    0.769     3     0     forces('Ar32_frame001')
-0.384         -1.857          eV/angstrom    0.154    0.0104    0.949     3     1     forces('Ar32_frame001')
-0.123         -0.601          eV/angstrom    0.154    0.0104    0.100     3     2     forces('Ar32_frame001')
-0.210         -1.034          eV/angstrom    0.154    0.0104    0.297     4     0     forces('Ar32_frame001')
-0.097         -0.451          eV/angstrom    0.154    0.0104    0.055     4     1     forces('Ar32_frame001')
+0.307         +1.479          eV/angstrom    0.154    0.0104    0.601     4     2     forces('Ar32_frame001')
-0.122         -0.608          eV/angstrom    0.154    0.0104    0.104     5     0     forces('Ar32_frame001')
+0.028         +0.062          eV/angstrom    0.154    0.0104    0.000     5     1     forces('Ar32_frame001')
-0.035         -0.170          eV/angstrom    0.154    0.0104    0.008     5     2     forces('Ar32_frame001')
-0.011         -0.092          eV/angstrom    0.154    0.0104    0.003     6     0     forces('Ar32_frame001')
+0.047         +0.299          eV/angstrom    0.154    0.0104    0.028     6     1     forces('Ar32_frame001')
-0.008         -0.065          eV/angstrom    0.154    0.0104    0.001     6     2     forces('Ar32_frame001')
