#evaluation training_set_loss log10(training_set_loss) time_seconds
000000 572.188673 2.758 0.00
000002 0.506209 -0.296 0.59
000004 0.077947 -1.108 1.14
000019 0.067688 -1.169 3.56
000020 0.351541 -0.454 3.88
000021 0.054580 -1.263 4.13
000024 0.052219 -1.282 4.89
000027 0.050946 -1.293 5.60
000030 0.049733 -1.303 6.29
000031 0.048568 -1.314 6.61
000033 0.048319 -1.316 7.15
000035 0.046225 -1.335 7.64
000036 0.044962 -1.347 7.96
000037 0.044733 -1.349 8.28
000039 0.041163 -1.385 8.82
000040 0.038533 -1.414 9.14
000043 0.034490 -1.462 9.90
000044 0.032635 -1.486 10.23
000048 0.030174 -1.520 11.18
000050 0.033342 -1.477 11.74
000052 0.029446 -1.531 12.21
000055 0.028750 -1.541 12.99
000056 0.027068 -1.568 13.33
000057 0.026242 -1.581 13.68
000060 0.025573 -1.592 14.41
000062 0.024114 -1.618 14.93
000063 0.022887 -1.640 15.24
000065 0.020290 -1.693 15.77
000066 0.018837 -1.725 16.10
000068 0.017006 -1.769 16.64
000070 0.028883 -1.539 17.17
000072 0.015176 -1.819 17.64
000073 0.013887 -1.857 17.97
000077 0.012525 -1.902 18.90
000078 0.010871 -1.964 19.21
000080 0.013214 -1.879 19.72
000082 0.010000 -2.000 20.19
000085 0.009979 -2.001 20.95
000086 0.008865 -2.052 21.27
000087 0.008505 -2.070 21.58
000090 0.007686 -2.114 22.31
000091 0.007181 -2.144 22.62
000094 0.006788 -2.168 23.32
000095 0.006250 -2.204 23.65
000097 0.005011 -2.300 24.36
000098 0.004510 -2.346 24.67
000100 0.003581 -2.446 25.19
000106 0.003539 -2.451 26.56
000108 0.003091 -2.510 27.11
000110 0.003077 -2.512 27.66
000111 0.003067 -2.513 27.97
000112 0.002799 -2.553 28.26
000114 0.002545 -2.594 28.82
000120 0.002605 -2.584 30.10
000121 0.002540 -2.595 30.35
000122 0.002520 -2.599 30.65
000127 0.002517 -2.599 31.70
000130 0.002515 -2.600 32.36
000132 0.002515 -2.600 32.84
000134 0.002514 -2.600 33.34
000138 0.002514 -2.600 34.27
000140 0.002514 -2.600 34.75
000144 0.002514 -2.600 35.66
000144 0.002514 -2.600 35.77
