#evaluation MAE_energy[eV] RMSE_energy[eV] MAE_forces[eV/angstrom] RMSE_forces[eV/angstrom]
000000 0.890245 0.890269 0.375160 0.541727
000002 0.025682 0.026881 0.009199 0.012041
000004 0.007581 0.010289 0.005680 0.007163
000019 0.007760 0.009460 0.005968 0.007586
000020 0.021119 0.022412 0.007635 0.009904
000021 0.007750 0.007900 0.007310 0.009934
000024 0.007798 0.007932 0.006655 0.008788
000027 0.007731 0.007743 0.006827 0.009112
000030 0.007626 0.007695 0.006635 0.008795
000031 0.007539 0.007572 0.006649 0.008841
000033 0.007383 0.007435 0.006929 0.009340
000035 0.007343 0.007366 0.006556 0.008722
000036 0.007223 0.007300 0.006380 0.008440
000037 0.007064 0.007127 0.006757 0.009097
000039 0.006898 0.006910 0.006327 0.008411
000040 0.006648 0.006651 0.006233 0.008291
000043 0.006220 0.006226 0.006092 0.008120
000044 0.006084 0.006108 0.005808 0.007683
000048 0.005506 0.005707 0.005983 0.008055
000050 0.005953 0.006343 0.005364 0.006997
000052 0.005293 0.005614 0.005959 0.008048
000055 0.005637 0.005640 0.005716 0.007596
000056 0.005425 0.005437 0.005642 0.007510
000057 0.005384 0.005387 0.005484 0.007259
000060 0.005147 0.005227 0.005620 0.007519
000062 0.005128 0.005129 0.005362 0.007096
000063 0.004991 0.005006 0.005213 0.006878
000065 0.004594 0.004608 0.005174 0.006872
000066 0.004316 0.004381 0.005120 0.006828
000068 0.003878 0.004087 0.005025 0.006741
000070 0.004216 0.005573 0.005756 0.007923
000072 0.003887 0.003889 0.004739 0.006275
000073 0.003672 0.003676 0.004638 0.006147
000077 0.003464 0.003538 0.004324 0.005684
000078 0.003172 0.003201 0.004249 0.005599
000080 0.002506 0.003475 0.004686 0.006334
000082 0.002964 0.003081 0.004079 0.005338
000085 0.002931 0.002946 0.004304 0.005717
000086 0.002724 0.002726 0.004172 0.005523
000087 0.002502 0.002592 0.004219 0.005612
000090 0.002411 0.002429 0.004090 0.005419
000091 0.002152 0.002264 0.004087 0.005432
000094 0.002232 0.002233 0.003954 0.005211
000095 0.002098 0.002115 0.003852 0.005062
000097 0.001616 0.001643 0.003808 0.005029
000098 0.001350 0.001431 0.003763 0.004980
000100 0.001031 0.001040 0.003579 0.004755
000106 0.001016 0.001176 0.003403 0.004545
000108 0.000713 0.000725 0.003478 0.004659
000110 0.000698 0.000911 0.003302 0.004468
000111 0.000819 0.000977 0.003197 0.004384
000112 0.000347 0.000419 0.003406 0.004612
000114 0.000345 0.000350 0.003189 0.004419
000120 0.000179 0.000191 0.003297 0.004524
000121 0.000034 0.000044 0.003265 0.004487
000122 0.000246 0.000276 0.003174 0.004425
000127 0.000143 0.000144 0.003225 0.004456
000130 0.000196 0.000221 0.003192 0.004437
000132 0.000156 0.000185 0.003203 0.004446
000134 0.000162 0.000172 0.003210 0.004448
000138 0.000177 0.000187 0.003206 0.004444
000140 0.000174 0.000189 0.003204 0.004444
000144 0.000178 0.000190 0.003204 0.004444
000144 0.000178 0.000190 0.003204 0.004444
