#evaluation x_0 x_1
000000 0.000300 4.000000
000002 6.47500000e-05 4.000000
000004 6.47500000e-05 3.975000
000019 6.19931641e-05 3.986084
000021 6.03850098e-05 3.984216
000024 6.04998779e-05 3.987921
000027 6.11316528e-05 3.983298
000030 6.26680145e-05 3.976600
000031 6.37520828e-05 3.970939
000033 6.54679260e-05 3.960655
000035 6.63725128e-05 3.958581
000036 6.81350212e-05 3.951364
000037 6.98508644e-05 3.941080
000039 7.25179596e-05 3.931789
000040 7.60429764e-05 3.917356
000043 8.22350883e-05 3.893633
000044 8.44732227e-05 3.886913
000048 9.29034691e-05 3.856469
000052 9.61953843e-05 3.845944
000055 9.11572823e-05 3.863797
000056 9.44491975e-05 3.853272
000057 9.52220617e-05 3.851673
000060 9.87573075e-05 3.839715
000062 9.92868410e-05 3.839549
000063 0.000102 3.833404
000065 0.000108 3.815134
000066 0.000113 3.802844
000068 0.000120 3.784241
000072 0.000120 3.785570
000073 0.000124 3.776932
000077 0.000128 3.769624
000078 0.000133 3.758246
000082 0.000137 3.750937
000085 0.000137 3.748695
000086 0.000141 3.741386
000087 0.000145 3.732957
000090 0.000147 3.730143
000091 0.000152 3.720867
000094 0.000150 3.724307
000095 0.000153 3.719982
000097 0.000162 3.703567
000098 0.000167 3.694917
000100 0.000174 3.685382
000106 0.000174 3.685689
000108 0.000180 3.675847
000110 0.000180 3.676154
000111 0.000184 3.671540
000112 0.000190 3.661698
000114 0.000194 3.657391
000121 0.000194 3.656459
000122 0.000197 3.652267
000127 0.000195 3.655265
000130 0.000197 3.652864
000132 0.000197 3.652860
000134 0.000196 3.654064
000138 0.000196 3.653990
000140 0.000196 3.653595
000144 0.000196 3.653808
000144 0.000196 3.653808
